cenario;arquivo_instancia;makespan_final;ddlb;razao_ms_ddlb;melhoria_ms;iteracoes;tempo_ga_ms
HHHHHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHHHHH\HHHHHHH_1.json;63209,45;50389,03;1,2544;9167,69;200;2281,76
HHHHHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHHHHH\HHHHHHH_10.json;62946,25;48695,46;1,2927;8431,34;200;3254,09
HHHHHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHHHHH\HHHHHHH_2.json;63919,06;50280,70;1,2712;10999,80;200;2358,99
HHHHHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHHHHH\HHHHHHH_3.json;63974,79;48868,98;1,3091;6716,63;200;2282,36
HHHHHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHHHHH\HHHHHHH_4.json;64341,52;49795,15;1,2921;9946,55;200;2346,63
HHHHHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHHHHH\HHHHHHH_5.json;63215,27;49133,42;1,2866;9282,60;200;2410,91
HHHHHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHHHHH\HHHHHHH_6.json;60901,16;48006,59;1,2686;9191,49;200;2348,78
HHHHHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHHHHH\HHHHHHH_7.json;62571,30;49772,14;1,2572;8729,16;200;2492,19
HHHHHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHHHHH\HHHHHHH_8.json;62129,75;51150,84;1,2146;9389,30;200;2491,30
HHHHHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHHHHH\HHHHHHH_9.json;64561,68;49789,36;1,2967;8077,53;200;2325,02
HHHHHHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHHHHL\HHHHHHL_1.json;16855,18;14049,67;1,1997;2223,43;200;629,46
HHHHHHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHHHHL\HHHHHHL_10.json;17840,23;14864,39;1,2002;1860,15;200;648,28
HHHHHHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHHHHL\HHHHHHL_2.json;17601,55;15964,87;1,1025;1751,73;200;662,98
HHHHHHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHHHHL\HHHHHHL_3.json;16127,39;16127,39;1,0000;1523,88;200;621,32
HHHHHHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHHHHL\HHHHHHL_4.json;17484,70;14841,53;1,1781;3090,90;200;625,98
